gene_id	trans_id	gene_name	transcript_name	gene_type	transcript_type
ENSG00000290825.1	ENST00000456328.2	DDX11L2	DDX11L2-202	lncRNA	lncRNA
ENSG00000243485.5	ENST00000473358.1	MIR1302-2HG	MIR1302-2HG-202	lncRNA	lncRNA
ENSG00000243485.5	ENST00000469289.1	MIR1302-2HG	MIR1302-2HG-201	lncRNA	lncRNA
ENSG00000237613.2	ENST00000417324.1	FAM138A	FAM138A-201	lncRNA	lncRNA
ENSG00000290826.1	ENST00000642116.1	ENSG00000290826	ENST00000642116	lncRNA	lncRNA
ENSG00000186092.7	ENST00000641515.2	OR4F5	OR4F5-201	protein_coding	protein_coding
ENSG00000238009.7	ENST00000466430.5	ENSG00000238009	ENST00000466430	lncRNA	lncRNA
ENSG00000238009.7	ENST00000477740.5	ENSG00000238009	ENST00000477740	lncRNA	lncRNA
ENSG00000239945.1	ENST00000495576.1	ENSG00000239945	ENST00000495576	lncRNA	lncRNA
ENSG00000239906.1	ENST00000493797.1	ENSG00000239906	ENST00000493797	lncRNA	lncRNA
ENSG00000241860.7	ENST00000484859.1	ENSG00000241860	ENST00000484859	lncRNA	lncRNA
ENSG00000241860.7	ENST00000466557.6	ENSG00000241860	ENST00000466557	lncRNA	lncRNA
ENSG00000241860.7	ENST00000662089.1	ENSG00000241860	ENST00000662089	lncRNA	lncRNA
ENSG00000241599.1	ENST00000496488.1	ENSG00000241599	ENST00000496488	lncRNA	lncRNA
ENSG00000292994.1	ENST00000441866.2	ENSG00000292994	ENST00000441866	lncRNA	lncRNA
ENSG00000292994.1	ENST00000424587.7	ENSG00000292994	ENST00000424587	lncRNA	lncRNA
ENSG00000286448.1	ENST00000669836.1	ENSG00000286448	ENST00000669836	lncRNA	lncRNA
ENSG00000236601.2	ENST00000635159.1	ENSG00000236601	ENST00000635159	lncRNA	lncRNA
ENSG00000290385.1	ENST00000440163.1	ENSG00000290385	ENST00000440163	lncRNA	lncRNA
ENSG00000290385.1	ENST00000455464.7	ENSG00000290385	ENST00000455464	lncRNA	lncRNA
ENSG00000290385.1	ENST00000601814.5	ENSG00000290385	ENST00000601814	lncRNA	lncRNA
ENSG00000290385.1	ENST00000440038.7	ENSG00000290385	ENST00000440038	lncRNA	lncRNA
ENSG00000290385.1	ENST00000423728.6	ENSG00000290385	ENST00000423728	lncRNA	lncRNA
ENSG00000290385.1	ENST00000616311.5	ENSG00000290385	ENST00000616311	lncRNA	lncRNA
ENSG00000290385.1	ENST00000641845.1	ENSG00000290385	ENST00000641845	lncRNA	lncRNA
ENSG00000290385.1	ENST00000641916.1	ENSG00000290385	ENST00000641916	lncRNA	lncRNA
ENSG00000290385.1	ENST00000601486.5	ENSG00000290385	ENST00000601486	lncRNA	lncRNA
ENSG00000290385.1	ENST00000616947.2	ENSG00000290385	ENST00000616947	lncRNA	lncRNA
ENSG00000290385.1	ENST00000641303.1	ENSG00000290385	ENST00000641303	lncRNA	lncRNA
ENSG00000290385.1	ENST00000641063.1	ENSG00000290385	ENST00000641063	lncRNA	lncRNA
ENSG00000290385.1	ENST00000642124.1	ENSG00000290385	ENST00000642124	lncRNA	lncRNA
ENSG00000284733.2	ENST00000426406.4	OR4F29	OR4F29-201	protein_coding	protein_coding
ENSG00000293331.1	ENST00000634833.2	ENSG00000293331	ENST00000634833	lncRNA	lncRNA
ENSG00000293331.1	ENST00000419394.2	ENSG00000293331	ENST00000419394	lncRNA	lncRNA
ENSG00000293331.1	ENST00000641296.1	ENSG00000293331	ENST00000641296	lncRNA	lncRNA
ENSG00000293331.1	ENST00000357876.6	ENSG00000293331	ENST00000357876	lncRNA	lncRNA
ENSG00000293331.1	ENST00000648019.1	ENSG00000293331	ENST00000648019	lncRNA	lncRNA
ENSG00000293331.1	ENST00000452176.2	ENSG00000293331	ENST00000452176	lncRNA	lncRNA
ENSG00000235146.2	ENST00000423796.1	ENSG00000235146	ENST00000423796	lncRNA	lncRNA
ENSG00000284662.2	ENST00000332831.5	OR4F16	OR4F16-201	protein_coding	protein_coding
ENSG00000291215.1	ENST00000506640.3	ENSG00000291215	ENST00000506640	lncRNA	lncRNA
ENSG00000229905.1	ENST00000422528.1	ENSG00000229905	ENST00000422528	lncRNA	lncRNA
ENSG00000237491.10	ENST00000670700.1	LINC01409	LINC01409-232	lncRNA	lncRNA
ENSG00000237491.10	ENST00000429505.6	LINC01409	LINC01409-202	lncRNA	lncRNA
ENSG00000237491.10	ENST00000434264.6	LINC01409	LINC01409-203	lncRNA	lncRNA
ENSG00000237491.10	ENST00000656571.1	LINC01409	LINC01409-224	lncRNA	lncRNA
ENSG00000237491.10	ENST00000443772.2	LINC01409	LINC01409-204	lncRNA	lncRNA
ENSG00000237491.10	ENST00000667728.1	LINC01409	LINC01409-230	lncRNA	lncRNA
ENSG00000290784.1	ENST00000447500.4	ENSG00000290784	ENST00000447500	lncRNA	lncRNA
ENSG00000177757.2	ENST00000326734.2	FAM87B	FAM87B-201	lncRNA	lncRNA
ENSG00000225880.6	ENST00000473798.2	LINC00115	LINC00115-201	lncRNA	lncRNA
ENSG00000228794.12	ENST00000623808.4	LINC01128	LINC01128-214	lncRNA	lncRNA
ENSG00000228794.12	ENST00000445118.7	LINC01128	LINC01128-205	lncRNA	lncRNA
ENSG00000228794.12	ENST00000670780.1	LINC01128	LINC01128-226	lncRNA	lncRNA
ENSG00000228794.12	ENST00000666741.2	LINC01128	LINC01128-222	lncRNA	lncRNA
ENSG00000228794.12	ENST00000608189.6	LINC01128	LINC01128-208	lncRNA	lncRNA
ENSG00000228794.12	ENST00000686238.1	LINC01128	LINC01128-232	lncRNA	lncRNA
ENSG00000228794.12	ENST00000609009.6	LINC01128	LINC01128-209	lncRNA	lncRNA
ENSG00000228794.12	ENST00000657837.1	LINC01128	LINC01128-217	lncRNA	lncRNA
ENSG00000228794.12	ENST00000692194.1	LINC01128	LINC01128-238	lncRNA	lncRNA
ENSG00000228794.12	ENST00000702098.1	LINC01128	LINC01128-241	lncRNA	lncRNA
ENSG00000288531.1	ENST00000671208.1	ENSG00000288531	ENST00000671208	lncRNA	lncRNA
ENSG00000288531.1	ENST00000661463.1	ENSG00000288531	ENST00000661463	lncRNA	lncRNA
ENSG00000230368.2	ENST00000446136.1	FAM41C	FAM41C-203	lncRNA	lncRNA
ENSG00000230368.2	ENST00000432963.1	FAM41C	FAM41C-202	lncRNA	lncRNA
ENSG00000272438.1	ENST00000715285.1	ENSG00000272438	ENST00000715285	lncRNA	lncRNA
ENSG00000223764.2	ENST00000417705.1	LINC02593	LINC02593-201	lncRNA	lncRNA
ENSG00000187634.13	ENST00000616016.5	SAMD11	SAMD11-209	protein_coding	protein_coding
ENSG00000187634.13	ENST00000618323.5	SAMD11	SAMD11-213	protein_coding	protein_coding
ENSG00000187634.13	ENST00000342066.8	SAMD11	SAMD11-202	protein_coding	protein_coding
ENSG00000188976.11	ENST00000327044.7	NOC2L	NOC2L-201	protein_coding	protein_coding
ENSG00000187961.15	ENST00000338591.8	KLHL17	KLHL17-201	protein_coding	protein_coding
ENSG00000187961.15	ENST00000466300.1	KLHL17	KLHL17-203	protein_coding	nonsense_mediated_decay
ENSG00000187583.11	ENST00000379410.8	PLEKHN1	PLEKHN1-203	protein_coding	protein_coding
ENSG00000187583.11	ENST00000379407.7	PLEKHN1	PLEKHN1-201	protein_coding	protein_coding
ENSG00000187583.11	ENST00000379409.6	PLEKHN1	PLEKHN1-202	protein_coding	protein_coding
ENSG00000187642.10	ENST00000433179.4	PERM1	PERM1-202	protein_coding	protein_coding
ENSG00000187642.10	ENST00000341290.6	PERM1	PERM1-201	protein_coding	protein_coding
